Edad,Fecha de nacimiento,Sexo,Lugar de residencia,Composición del hogar,Grado de consanguinidad,Número de personas con quienes vive,Profesión de los padres,Nivel escolar,Rendimiento académico promedio,Antecedentes de maltrato familiar o escolar,Participa en actividades extracurriculares,Usa redes sociales activamente,Contactó de forma inapropiada en redes,Involucrado en otros incidentes de agresión,Conocía a la víctima,Antecedentes penales o disciplinarios,Trastorno psicológico o adicción,Atención psicológica previa,Se siente arrepentido,Reconoce que su comportamiento fue incorrecto,Premeditado o impulsivo,Violencia física o amenazas,Actuó solo o con otras personas,Edad inicio consumo pornográfico,Contenido violento o explícito en material
9,2018-07-18,Femenino,New Jessica,Nuclear,Abuelos,1,Empresario,Secundaria,2,No,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,No,Impulsivo,Sí,Solo,6,Sí
5,2011-06-02,Masculino,South Brucefurt,Extendida,Padres,3,Profesional,Técnico,7,Sí,No,No,No,No,No,Sí,Sí,Sí,No,No,Impulsivo,No,Con otras personas,12,No
8,2017-01-15,Femenino,Katieland,Nuclear,Padres,7,Desempleado,Primaria,9,Sí,Sí,Sí,No,Sí,No,No,Sí,Sí,Sí,No,Premeditado,Sí,Solo,12,No
7,2006-01-05,Femenino,Emilybury,Extendida,Abuelos,6,Profesional,Secundaria,5,No,No,Sí,No,No,No,No,No,Sí,Sí,Sí,Impulsivo,No,Con otras personas,9,No
6,2018-10-13,Otro,Bellfurt,Monoparental,Tios,5,Profesional,Técnico,1,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Premeditado,Sí,Con otras personas,8,Sí
1,2016-01-23,Masculino,Port Alexisborough,Extendida,Otros familiares,1,Obrero,Técnico,5,No,No,No,Sí,No,Sí,Sí,Sí,No,No,No,Premeditado,No,Con otras personas,14,No
4,2023-04-07,Otro,Lake Charlesborough,Nuclear,Tios,2,Empleado público,Universitario,4,No,No,No,Sí,No,Sí,No,Sí,No,No,No,Premeditado,No,Solo,11,Sí
11,2014-02-21,Femenino,Port Wendy,Monoparental,Abuelos,4,Empleado público,Secundaria,5,Sí,Sí,Sí,No,No,Sí,No,No,No,Sí,Sí,Premeditado,No,Con otras personas,13,Sí
10,2016-10-06,Masculino,East Jay,Extendida,Otros familiares,3,Desempleado,Técnico,4,Sí,No,Sí,Sí,No,No,No,No,Sí,No,No,Impulsivo,Sí,Con otras personas,14,Sí
16,2009-09-15,Otro,Jackbury,Extendida,Abuelos,1,Empleado público,Primaria,5,No,No,No,Sí,No,No,Sí,No,No,Sí,No,Impulsivo,No,Solo,8,Sí
6,2008-11-02,Otro,Port Kimberlyfurt,Extendida,Otros familiares,1,Empresario,Universitario,5,No,No,No,Sí,No,No,No,No,No,No,No,Premeditado,No,Con otras personas,9,No
14,2014-07-20,Masculino,Benjaminside,Extendida,Abuelos,6,Empleado público,Primaria,8,No,No,Sí,No,No,No,No,No,Sí,No,No,Premeditado,No,Con otras personas,8,Sí
3,2021-08-31,Masculino,Lake Megan,Extendida,Hermanos,4,Desempleado,Primaria,7,Sí,No,Sí,No,Sí,No,No,Sí,Sí,No,No,Impulsivo,No,Solo,8,Sí
1,2019-02-28,Otro,Port James,Extendida,Hermanos,4,Empleado público,Primaria,3,No,No,No,No,Sí,Sí,No,No,No,Sí,Sí,Premeditado,Sí,Solo,13,No
11,2023-08-16,Femenino,South Jasonfurt,Monoparental,Padres,4,Empresario,Secundaria,7,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Premeditado,Sí,Solo,12,No
5,2018-01-25,Otro,Goodshire,Monoparental,Tios,2,Empresario,Universitario,8,No,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Premeditado,No,Con otras personas,14,Sí
11,2008-03-14,Otro,Garymouth,Nuclear,Tios,5,Profesor,Universitario,1,No,Sí,No,No,No,Sí,No,No,No,No,No,Impulsivo,No,Con otras personas,8,Sí
5,2016-10-31,Femenino,South Brenda,Extendida,Abuelos,6,Empleado público,Técnico,8,Sí,No,No,No,No,Sí,No,Sí,Sí,Sí,No,Premeditado,Sí,Solo,13,Sí
7,2022-12-05,Femenino,West Justinshire,Monoparental,Otros familiares,7,Empresario,Técnico,4,Sí,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Premeditado,Sí,Con otras personas,8,No
10,2012-01-01,Otro,North Andrew,Extendida,Tios,7,Empleado público,Técnico,1,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Impulsivo,No,Con otras personas,14,No
12,2018-01-04,Otro,New James,Monoparental,Otros familiares,2,Desempleado,Universitario,9,Sí,No,No,Sí,No,No,No,No,No,Sí,No,Premeditado,No,Con otras personas,6,Sí
2,2006-03-21,Otro,Brockchester,Nuclear,Padres,2,Profesional,Técnico,8,No,No,No,Sí,No,Sí,Sí,No,No,No,Sí,Premeditado,Sí,Con otras personas,13,Sí
2,2018-08-03,Femenino,Christopherhaven,Nuclear,Hermanos,6,Profesional,Secundaria,2,No,No,No,Sí,No,Sí,Sí,No,No,Sí,No,Impulsivo,No,Solo,7,Sí
7,2005-10-22,Masculino,Jonathanbury,Extendida,Otros familiares,7,Empresario,Primaria,6,Sí,No,Sí,No,No,No,Sí,Sí,Sí,No,No,Impulsivo,No,Con otras personas,8,Sí
14,2009-10-02,Otro,South Brandon,Nuclear,Abuelos,6,Profesor,Primaria,1,Sí,No,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Premeditado,No,Solo,13,No
10,2010-09-30,Otro,North Benjaminhaven,Extendida,Hermanos,3,Empleado público,Secundaria,3,No,No,No,No,No,Sí,No,Sí,Sí,Sí,Sí,Impulsivo,No,Solo,10,Sí
3,2016-07-23,Masculino,Ashleymouth,Nuclear,Padres,7,Desempleado,Universitario,4,Sí,No,No,No,No,Sí,Sí,Sí,No,Sí,Sí,Premeditado,Sí,Con otras personas,9,No
12,2012-03-16,Otro,Jennifershire,Extendida,Abuelos,2,Profesor,Universitario,5,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Impulsivo,No,Solo,9,Sí
12,2015-01-10,Masculino,New Jamesmouth,Nuclear,Padres,1,Empleado público,Secundaria,2,Sí,No,No,Sí,No,Sí,No,No,No,No,No,Premeditado,Sí,Solo,6,No
5,2018-10-12,Femenino,Aaronbury,Extendida,Tios,2,Obrero,Técnico,7,Sí,Sí,No,No,No,Sí,No,No,No,No,No,Premeditado,No,Con otras personas,14,No
10,2008-10-14,Femenino,Eileenport,Monoparental,Hermanos,1,Empleado público,Universitario,1,No,Sí,No,Sí,No,Sí,No,No,Sí,No,Sí,Premeditado,No,Con otras personas,6,No
4,2019-06-21,Otro,Stephenburgh,Monoparental,Padres,1,Profesor,Universitario,2,No,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,Premeditado,No,Con otras personas,13,No
7,2006-01-07,Otro,Elizabethport,Extendida,Hermanos,7,Empleado público,Secundaria,8,Sí,Sí,No,No,No,No,No,Sí,No,No,No,Impulsivo,Sí,Con otras personas,12,Sí
14,2015-05-30,Otro,East Paul,Nuclear,Otros familiares,4,Profesor,Primaria,8,No,Sí,Sí,No,No,No,Sí,No,No,Sí,Sí,Impulsivo,Sí,Con otras personas,8,Sí
13,2014-03-24,Masculino,Port Jonathan,Monoparental,Hermanos,7,Obrero,Técnico,5,Sí,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Premeditado,No,Solo,11,Sí
12,2021-05-05,Femenino,North Erica,Nuclear,Hermanos,6,Desempleado,Primaria,5,No,Sí,Sí,No,Sí,Sí,No,No,Sí,Sí,No,Premeditado,Sí,Con otras personas,12,No
14,2022-01-29,Otro,Kingborough,Monoparental,Hermanos,4,Profesor,Primaria,2,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,No,Sí,Impulsivo,Sí,Solo,11,Sí
5,2013-10-25,Otro,North Courtney,Nuclear,Abuelos,5,Profesional,Secundaria,4,No,No,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,Premeditado,Sí,Solo,12,No
7,2022-07-11,Femenino,East Julie,Monoparental,Otros familiares,3,Profesor,Universitario,4,Sí,No,No,Sí,Sí,No,Sí,No,Sí,No,Sí,Premeditado,No,Solo,11,Sí
1,2016-05-01,Femenino,Lake Nicolebury,Extendida,Otros familiares,5,Profesor,Técnico,7,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,Premeditado,No,Con otras personas,10,Sí
12,2011-05-07,Otro,Jamesbury,Extendida,Padres,4,Profesional,Universitario,3,Sí,Sí,No,No,Sí,No,Sí,Sí,No,No,No,Premeditado,No,Solo,9,No
1,2015-11-07,Femenino,Thompsonfort,Extendida,Hermanos,2,Desempleado,Secundaria,5,No,No,No,No,No,No,No,Sí,Sí,Sí,Sí,Premeditado,No,Solo,14,Sí
3,2012-09-01,Masculino,Howeberg,Extendida,Abuelos,1,Empleado público,Primaria,3,No,Sí,No,Sí,Sí,Sí,No,Sí,Sí,No,Sí,Impulsivo,Sí,Con otras personas,8,Sí
14,2022-01-12,Otro,Nicolechester,Monoparental,Padres,4,Obrero,Primaria,8,No,Sí,No,No,No,Sí,Sí,No,No,No,Sí,Impulsivo,No,Con otras personas,12,No
16,2019-11-07,Otro,New Johnmouth,Monoparental,Abuelos,2,Empleado público,Primaria,5,No,No,Sí,No,No,No,No,Sí,Sí,Sí,No,Premeditado,No,Solo,9,Sí
15,2009-09-20,Otro,North Christopherhaven,Monoparental,Padres,3,Profesor,Secundaria,4,No,Sí,No,No,Sí,No,Sí,No,No,No,No,Impulsivo,No,Con otras personas,9,Sí
8,2012-10-13,Femenino,Haileystad,Nuclear,Abuelos,5,Empresario,Secundaria,3,Sí,No,No,No,No,Sí,No,Sí,Sí,No,Sí,Impulsivo,No,Con otras personas,14,No
14,2021-05-19,Otro,North Krystal,Extendida,Padres,2,Desempleado,Primaria,3,Sí,No,No,No,Sí,Sí,No,No,Sí,No,Sí,Premeditado,Sí,Con otras personas,14,Sí
3,2010-10-19,Femenino,Nicholasberg,Extendida,Tios,2,Obrero,Técnico,7,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Sí,No,Premeditado,No,Con otras personas,10,Sí
16,2018-07-18,Femenino,Lake Timothy,Monoparental,Abuelos,6,Profesional,Secundaria,3,Sí,No,No,No,Sí,Sí,Sí,Sí,No,Sí,Sí,Premeditado,Sí,Solo,13,Sí
9,2019-05-28,Femenino,Ericafurt,Monoparental,Padres,1,Desempleado,Universitario,2,Sí,No,No,Sí,No,Sí,Sí,No,Sí,No,Sí,Premeditado,Sí,Solo,13,No
7,2022-12-19,Masculino,Amybury,Nuclear,Padres,6,Profesional,Técnico,8,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Impulsivo,No,Con otras personas,13,No
3,2011-09-19,Otro,Lake Sarahshire,Nuclear,Abuelos,2,Obrero,Universitario,5,No,No,No,Sí,Sí,Sí,No,Sí,Sí,No,No,Impulsivo,No,Solo,14,No
1,2011-01-24,Otro,Harrisonborough,Monoparental,Tios,6,Desempleado,Secundaria,4,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Impulsivo,Sí,Con otras personas,7,No
6,2010-11-27,Otro,Murphyside,Monoparental,Padres,1,Profesor,Secundaria,8,Sí,No,Sí,No,No,Sí,Sí,Sí,Sí,No,Sí,Premeditado,No,Con otras personas,9,Sí
12,2020-09-21,Masculino,East Kristinmouth,Extendida,Hermanos,6,Obrero,Universitario,5,Sí,Sí,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,Premeditado,Sí,Solo,11,Sí
1,2010-04-18,Masculino,Angelaport,Nuclear,Hermanos,3,Empleado público,Secundaria,9,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,No,Impulsivo,Sí,Con otras personas,11,Sí
11,2019-07-11,Masculino,North Ryanbury,Monoparental,Padres,5,Desempleado,Universitario,2,No,No,No,No,Sí,Sí,Sí,No,No,Sí,Sí,Premeditado,Sí,Con otras personas,11,No
8,2013-06-01,Masculino,Victorfurt,Monoparental,Tios,5,Obrero,Universitario,3,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Impulsivo,No,Solo,8,Sí
7,2011-11-10,Otro,Justinchester,Extendida,Abuelos,6,Profesional,Primaria,4,Sí,Sí,Sí,Sí,No,No,No,Sí,No,No,No,Premeditado,No,Con otras personas,10,No
2,2008-02-11,Masculino,Lake Brenda,Extendida,Abuelos,3,Profesional,Universitario,2,No,No,Sí,Sí,Sí,Sí,No,No,Sí,No,No,Impulsivo,No,Solo,6,No
8,2014-04-24,Femenino,Stanleyhaven,Nuclear,Tios,3,Desempleado,Secundaria,3,No,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,Premeditado,Sí,Solo,14,No
10,2009-08-20,Otro,Andrewmouth,Monoparental,Otros familiares,4,Profesor,Universitario,6,No,Sí,No,No,No,No,No,Sí,Sí,No,No,Premeditado,No,Solo,10,Sí
5,2013-01-13,Femenino,Lake Daleton,Monoparental,Padres,3,Desempleado,Universitario,5,Sí,No,Sí,No,No,No,No,No,No,No,Sí,Impulsivo,No,Solo,10,Sí
17,2020-08-27,Femenino,Stantonside,Extendida,Abuelos,3,Desempleado,Primaria,3,Sí,No,No,Sí,Sí,No,No,Sí,No,No,No,Impulsivo,No,Con otras personas,7,Sí
14,2010-02-11,Femenino,Amandaberg,Nuclear,Otros familiares,5,Empresario,Secundaria,7,Sí,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,Sí,Impulsivo,Sí,Solo,9,Sí
14,2011-05-05,Femenino,Buchananbury,Nuclear,Otros familiares,7,Empleado público,Primaria,6,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,Impulsivo,No,Con otras personas,6,Sí
14,2019-06-26,Masculino,North Jacobton,Monoparental,Otros familiares,4,Obrero,Primaria,4,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Premeditado,No,Solo,8,Sí
7,2021-08-02,Femenino,East Jennifer,Extendida,Tios,6,Empleado público,Primaria,5,Sí,No,Sí,Sí,No,Sí,Sí,Sí,No,No,Sí,Premeditado,Sí,Solo,14,Sí
15,2017-04-01,Masculino,Veronicamouth,Extendida,Abuelos,6,Profesional,Técnico,7,Sí,Sí,No,Sí,Sí,No,No,Sí,No,Sí,No,Impulsivo,Sí,Con otras personas,10,No
8,2021-12-02,Otro,North Georgebury,Extendida,Hermanos,6,Empresario,Universitario,9,No,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Sí,Impulsivo,No,Con otras personas,14,Sí
1,2010-09-25,Otro,Port Kennethstad,Nuclear,Tios,1,Empresario,Técnico,1,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,Sí,Premeditado,Sí,Solo,9,No
15,2016-01-02,Femenino,Simpsonborough,Extendida,Padres,3,Empleado público,Técnico,1,No,Sí,No,No,Sí,No,No,No,Sí,No,Sí,Impulsivo,Sí,Con otras personas,7,No
6,2009-08-06,Masculino,South Paultown,Monoparental,Otros familiares,3,Empresario,Secundaria,8,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Impulsivo,Sí,Con otras personas,13,Sí
8,2010-08-06,Femenino,North Kevinshire,Nuclear,Padres,2,Profesional,Primaria,3,No,Sí,No,Sí,No,Sí,No,Sí,No,No,No,Impulsivo,No,Solo,11,Sí
15,2008-07-11,Masculino,East Nicole,Nuclear,Padres,7,Desempleado,Secundaria,9,No,No,Sí,Sí,Sí,Sí,No,Sí,No,No,No,Impulsivo,Sí,Con otras personas,9,Sí
15,2009-03-11,Masculino,North Alyssa,Monoparental,Padres,7,Profesor,Técnico,2,Sí,Sí,Sí,No,No,Sí,Sí,No,Sí,No,No,Impulsivo,Sí,Solo,8,Sí
17,2009-08-03,Masculino,North Francisco,Monoparental,Padres,5,Obrero,Técnico,8,No,No,No,No,No,Sí,Sí,Sí,Sí,Sí,Sí,Premeditado,Sí,Solo,6,No
14,2015-12-20,Masculino,Churchside,Monoparental,Otros familiares,6,Empleado público,Primaria,7,Sí,No,No,Sí,No,No,No,Sí,Sí,No,No,Premeditado,No,Solo,14,No
1,2014-07-19,Otro,Allenville,Monoparental,Hermanos,5,Empresario,Primaria,3,Sí,No,No,No,No,No,Sí,No,No,Sí,Sí,Premeditado,Sí,Con otras personas,9,No
14,2011-06-03,Otro,Janicetown,Monoparental,Padres,4,Obrero,Técnico,8,Sí,Sí,No,Sí,No,Sí,Sí,Sí,No,No,Sí,Premeditado,No,Con otras personas,8,Sí
7,2005-12-04,Femenino,Rossmouth,Nuclear,Tios,5,Desempleado,Técnico,3,No,No,No,No,Sí,Sí,No,Sí,Sí,No,No,Premeditado,Sí,Con otras personas,10,Sí
11,2010-04-02,Otro,New Samuel,Monoparental,Abuelos,7,Empleado público,Universitario,6,Sí,Sí,No,No,No,Sí,Sí,No,No,Sí,No,Premeditado,No,Con otras personas,11,No
8,2008-11-30,Femenino,Osbornmouth,Nuclear,Abuelos,2,Obrero,Primaria,6,Sí,No,Sí,Sí,Sí,No,Sí,No,No,No,Sí,Impulsivo,Sí,Solo,7,Sí
3,2020-10-20,Masculino,Coreyhaven,Monoparental,Otros familiares,7,Empleado público,Secundaria,8,Sí,No,No,No,Sí,Sí,Sí,No,No,No,No,Premeditado,No,Con otras personas,9,Sí
15,2014-06-08,Otro,South Cynthia,Monoparental,Hermanos,6,Obrero,Secundaria,8,Sí,No,Sí,No,Sí,Sí,Sí,Sí,No,Sí,No,Impulsivo,No,Con otras personas,12,Sí
12,2006-01-24,Masculino,Woodsshire,Nuclear,Hermanos,2,Empleado público,Primaria,8,No,No,Sí,No,No,Sí,No,Sí,No,Sí,No,Impulsivo,Sí,Con otras personas,6,No
1,2020-04-25,Otro,Port Anthony,Monoparental,Otros familiares,2,Empresario,Técnico,4,No,Sí,Sí,No,No,Sí,Sí,Sí,No,No,Sí,Premeditado,Sí,Solo,14,No
14,2010-04-21,Otro,Rodriguezshire,Nuclear,Hermanos,3,Empresario,Secundaria,6,Sí,Sí,Sí,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Impulsivo,No,Solo,11,No
16,2014-02-26,Otro,West Maryland,Nuclear,Otros familiares,2,Profesional,Universitario,3,Sí,Sí,No,Sí,No,Sí,Sí,No,No,No,Sí,Impulsivo,No,Con otras personas,9,Sí
16,2008-12-19,Otro,Floresside,Extendida,Tios,1,Obrero,Secundaria,6,No,Sí,Sí,No,No,Sí,Sí,Sí,Sí,No,No,Premeditado,No,Con otras personas,11,Sí
7,2016-09-10,Femenino,East Michelle,Nuclear,Tios,5,Empresario,Secundaria,7,Sí,Sí,Sí,No,No,Sí,No,Sí,Sí,Sí,No,Impulsivo,No,Solo,11,Sí
17,2012-08-07,Masculino,North Christopherland,Nuclear,Otros familiares,3,Obrero,Técnico,9,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,No,Premeditado,No,Solo,6,No
1,2012-07-07,Masculino,Jasonchester,Nuclear,Abuelos,5,Desempleado,Técnico,6,No,No,No,No,Sí,No,No,Sí,Sí,No,Sí,Impulsivo,Sí,Con otras personas,11,No
5,2021-09-02,Masculino,Port Amy,Monoparental,Abuelos,3,Obrero,Universitario,8,Sí,Sí,Sí,Sí,No,No,No,No,No,Sí,No,Impulsivo,Sí,Con otras personas,14,No
7,2015-09-07,Masculino,Kristinachester,Nuclear,Otros familiares,5,Empresario,Técnico,8,Sí,No,No,No,No,Sí,Sí,No,Sí,Sí,No,Impulsivo,Sí,Solo,8,No
3,2016-05-29,Otro,Mcclureton,Nuclear,Padres,3,Profesor,Universitario,6,No,Sí,Sí,Sí,No,No,Sí,No,No,Sí,Sí,Impulsivo,Sí,Solo,14,Sí
7,2021-06-06,Masculino,Port Arthur,Monoparental,Abuelos,6,Obrero,Primaria,9,Sí,No,No,Sí,No,No,Sí,No,Sí,Sí,Sí,Premeditado,No,Solo,12,Sí
1,2019-09-24,Otro,West Crystalburgh,Monoparental,Hermanos,3,Obrero,Primaria,1,Sí,Sí,No,No,No,No,Sí,No,Sí,No,Sí,Impulsivo,No,Con otras personas,7,Sí
8,2016-06-28,Masculino,Lewischester,Nuclear,Tios,6,Profesional,Universitario,8,No,No,Sí,No,Sí,No,No,Sí,No,Sí,Sí,Premeditado,No,Con otras personas,9,Sí
2,2019-03-10,Masculino,Bernardland,Monoparental,Padres,4,Profesional,Técnico,3,No,Sí,No,No,Sí,Sí,No,Sí,No,No,Sí,Premeditado,Sí,Solo,12,No
9,2020-07-01,Femenino,Lake Christinafort,Extendida,Otros familiares,4,Profesional,Técnico,4,No,Sí,Sí,No,Sí,Sí,Sí,No,No,No,No,Premeditado,No,Con otras personas,6,Sí
2,2009-07-23,Masculino,Johnsonberg,Monoparental,Padres,5,Profesional,Secundaria,2,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Sí,Sí,Impulsivo,Sí,Con otras personas,12,No
13,2014-02-11,Masculino,Roberttown,Nuclear,Hermanos,6,Profesional,Universitario,6,No,Sí,No,Sí,No,No,No,No,No,No,Sí,Premeditado,Sí,Solo,12,Sí
12,2023-02-24,Otro,East Shelley,Extendida,Padres,5,Empresario,Secundaria,5,No,Sí,Sí,Sí,No,No,No,No,Sí,No,Sí,Impulsivo,Sí,Con otras personas,14,Sí
1,2008-02-14,Otro,North Susan,Monoparental,Otros familiares,2,Desempleado,Secundaria,2,Sí,No,No,Sí,Sí,Sí,No,Sí,No,No,No,Impulsivo,No,Solo,14,No
14,2023-05-12,Masculino,West Christopher,Monoparental,Padres,2,Empleado público,Primaria,1,Sí,No,No,No,No,Sí,Sí,Sí,No,No,Sí,Premeditado,No,Solo,11,No
10,2022-03-11,Masculino,Saundersland,Monoparental,Tios,1,Desempleado,Secundaria,1,No,Sí,Sí,No,No,Sí,No,Sí,Sí,No,No,Premeditado,Sí,Solo,6,Sí
7,2018-03-08,Otro,New Isaac,Nuclear,Tios,1,Empresario,Primaria,2,No,No,No,Sí,Sí,No,Sí,Sí,Sí,No,Sí,Premeditado,Sí,Solo,9,No
11,2017-12-07,Otro,Port Marc,Monoparental,Abuelos,1,Desempleado,Universitario,4,Sí,No,No,Sí,No,No,Sí,Sí,Sí,No,No,Premeditado,Sí,Con otras personas,11,Sí
17,2021-02-27,Femenino,Shortmouth,Nuclear,Hermanos,7,Desempleado,Primaria,2,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,No,No,Premeditado,No,Solo,13,Sí
10,2006-03-18,Femenino,North Lisa,Nuclear,Padres,1,Obrero,Secundaria,3,Sí,No,Sí,Sí,Sí,Sí,Sí,Sí,No,Sí,No,Premeditado,No,Solo,12,No
17,2008-05-02,Otro,South Haroldmouth,Monoparental,Padres,7,Desempleado,Técnico,2,No,No,No,Sí,No,No,No,No,No,No,No,Premeditado,Sí,Solo,13,Sí
10,2012-03-24,Masculino,West Taylor,Monoparental,Hermanos,4,Profesional,Técnico,6,Sí,No,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,Premeditado,No,Solo,12,No
4,2015-04-11,Masculino,New Teresaside,Nuclear,Otros familiares,6,Obrero,Técnico,1,Sí,Sí,Sí,No,Sí,No,Sí,Sí,No,No,Sí,Impulsivo,Sí,Con otras personas,12,Sí
8,2009-04-09,Otro,Josephchester,Monoparental,Tios,3,Empleado público,Secundaria,2,Sí,Sí,Sí,No,No,Sí,Sí,Sí,No,Sí,No,Premeditado,No,Solo,13,Sí
1,2006-10-04,Femenino,West Christopherview,Nuclear,Hermanos,2,Profesional,Secundaria,6,No,Sí,No,Sí,No,No,No,No,No,No,Sí,Impulsivo,No,Con otras personas,14,Sí
17,2006-12-28,Masculino,Lake Jeremyhaven,Extendida,Otros familiares,4,Obrero,Secundaria,3,Sí,Sí,Sí,No,No,No,No,No,No,No,Sí,Premeditado,Sí,Solo,9,Sí
11,2016-11-08,Otro,Lake Kerri,Extendida,Otros familiares,2,Empresario,Técnico,2,Sí,Sí,No,No,No,Sí,Sí,No,No,No,No,Premeditado,Sí,Solo,12,Sí
11,2012-05-02,Otro,Allenberg,Monoparental,Otros familiares,5,Empresario,Universitario,7,Sí,No,Sí,Sí,Sí,No,No,Sí,Sí,No,No,Premeditado,Sí,Solo,11,Sí
15,2020-02-28,Otro,West Cameron,Nuclear,Abuelos,7,Empresario,Universitario,5,No,Sí,No,No,Sí,No,Sí,Sí,No,No,Sí,Premeditado,Sí,Con otras personas,14,No
3,2017-09-02,Masculino,Owensberg,Extendida,Padres,1,Empresario,Secundaria,3,No,No,No,Sí,Sí,No,Sí,No,Sí,No,No,Impulsivo,Sí,Con otras personas,14,Sí
17,2016-05-12,Femenino,Monicamouth,Monoparental,Abuelos,7,Desempleado,Universitario,9,No,No,Sí,Sí,No,No,No,No,No,No,No,Premeditado,Sí,Con otras personas,7,Sí
9,2020-11-26,Femenino,Bellton,Extendida,Tios,1,Empleado público,Secundaria,5,No,Sí,Sí,Sí,No,Sí,No,No,No,Sí,No,Premeditado,Sí,Con otras personas,10,Sí
15,2019-12-15,Femenino,Maryborough,Extendida,Otros familiares,1,Empleado público,Primaria,1,Sí,No,No,Sí,No,Sí,No,Sí,Sí,No,Sí,Impulsivo,Sí,Solo,6,Sí
5,2016-04-16,Masculino,Natalieshire,Nuclear,Tios,2,Profesional,Primaria,7,Sí,No,No,No,Sí,No,Sí,Sí,No,No,Sí,Impulsivo,No,Con otras personas,12,Sí
15,2006-12-30,Masculino,Brownside,Monoparental,Padres,6,Desempleado,Primaria,2,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Sí,Sí,Impulsivo,Sí,Con otras personas,13,Sí
13,2010-01-17,Masculino,South Elijahton,Nuclear,Abuelos,6,Profesional,Secundaria,1,No,Sí,No,No,No,Sí,Sí,Sí,Sí,Sí,No,Premeditado,Sí,Con otras personas,11,Sí
8,2012-09-30,Femenino,East Samantha,Extendida,Otros familiares,3,Obrero,Primaria,9,Sí,No,Sí,Sí,No,No,No,Sí,Sí,Sí,Sí,Premeditado,No,Solo,9,Sí
2,2021-04-21,Otro,Jonesport,Nuclear,Hermanos,4,Desempleado,Primaria,2,Sí,Sí,No,Sí,Sí,No,No,No,Sí,Sí,No,Impulsivo,No,Con otras personas,10,Sí
5,2012-12-03,Femenino,East Matthewchester,Extendida,Hermanos,2,Empresario,Universitario,3,No,Sí,Sí,Sí,Sí,Sí,Sí,Sí,Sí,No,No,Impulsivo,Sí,Solo,8,No
16,2010-04-06,Masculino,Mariafort,Extendida,Padres,6,Desempleado,Primaria,1,Sí,Sí,Sí,Sí,No,Sí,Sí,Sí,No,Sí,No,Premeditado,Sí,Solo,10,No
6,2011-05-28,Otro,Rogersland,Monoparental,Hermanos,5,Desempleado,Primaria,8,No,Sí,Sí,Sí,Sí,Sí,Sí,No,No,No,No,Impulsivo,Sí,Con otras personas,12,Sí
14,2019-03-13,Femenino,Lisaberg,Nuclear,Otros familiares,2,Profesor,Técnico,6,Sí,No,Sí,Sí,Sí,No,Sí,Sí,Sí,Sí,Sí,Impulsivo,No,Con otras personas,12,Sí
14,2021-12-14,Femenino,South Mark,Monoparental,Padres,7,Empleado público,Secundaria,8,Sí,No,No,Sí,No,Sí,No,No,Sí,Sí,No,Premeditado,Sí,Solo,13,Sí
9,2012-08-15,Otro,Kimberlytown,Monoparental,Abuelos,2,Empleado público,Técnico,8,Sí,No,Sí,No,Sí,Sí,Sí,Sí,Sí,No,Sí,Impulsivo,No,Con otras personas,11,No
9,2020-08-31,Otro,Moodychester,Extendida,Padres,5,Empleado público,Universitario,9,No,Sí,Sí,No,Sí,Sí,No,Sí,No,Sí,No,Impulsivo,Sí,Con otras personas,6,Sí
